ลำดับ,อ้างอิงภายใน,ชื่อ,Sales Price,ปริมาณในมือ,กล่องขาออก,ปริมาณพยากรณ์,หน่วยวัด,Activity Exception Decoration
1,2DKA00221,ใบมีดคัตเตอร์ ขนาด 18 มม.30 องศา D-150 ตราสิงห์,0,0,0,0,แผง,
784,#CBSLID-150,ใบมีดคัตเตอร์ ตราสิงห์ No.D-150 ขนาดใหญ่ เฉียง 30 องศา (60 ใบ / กล่อง),227,0,0,0,กล่อง,
785,#CBSLID-100,ใบมีดคัตเตอร์ ตราสิงห์ ขนาดเล็ก 30 องศา D-100 (60 ใบ / กล่อง),158,0,0,0,กล่อง,
786,#CBSLIA-100,ใบมีดคัตเตอร์ ตราสิงห์ ขนาดเล็ก A-100 (60 ใบ / กล่อง),106,0,0,0,กล่อง,
787,#CBSLIL-150,ใบมีดคัตเตอร์ ตราสิงห์ ขนาดใหญ่ เฉียง 45 องศา L-150 (60 ใบ / กล่อง),202,39,0,39,กล่อง,
1,CB375,ใบมีดคัตเตอร์ใหญ่ L45 องศา 18 มม.ตราม้า (หลอด/6 ใบ),50,0,0,0,หลอด,
1,HCC0282,ใบมีดคัตเตอร์ใหญ่สิงห์ 30 องศา D-150(งานคลัง),0,182,0,182,กล่อง,
1,HBG0288,ใบมีดจักรโพรง ,0,1,0,1,ชุด,
1,AC080,ใบมีดผ่าตัด No.23 (10 แผ่น) ,104.17,0,0,0,ชุด,
163,#FSD0163,ใบสั่งกามเทพ,400,0,0,0,เล่ม,
1,#FPL0917,ใบสั่งจากครูตุ๊ต๊ะ ชุดเล่นสนุกกับไดโนน้อย,85,0,0,0,เล่ม,
1,HA021,ใบสั่งซื้อ พวป.,0,75,0,75,เล่ม,
1,HA-FNPVP-002,ใบสั่งซื้อ โบรชัวส์ทักษะชีวิต,0,13085,0,13085,ใบ,
1,HA013,ใบส่งสินค้า/ใบกำกับภาษี ขนาด 9 x 11 สม อินเตอร์ (1 กล่อง / 500 ชุด),0,0,0,0,ชุด,
1,#FJS0312,ใบเขียวใบพรุน,90,0,0,0,เล่ม,
1,HCC0162,ใบเจียร์บาง(เครื่องมือช่าง),0,12,0,12,ใบ,
1,CB927,ใบเลื่อยฉลุอย่างดี,87.3,0,0,0,มัด,
1,HCC0321,ใบเลื่อยวงเดือน 7 นิ้ว Makita(เครื่องมือช่าง),0,0,0,0,ใบ,
1,CB552,ใบเสร็จรับเงิน ,0,0,0,0,เล่ม,
1,HA014,ใบเสร็จรับเงิน ขนาด 9 x 5.5 สม อินเตอร์ (1 กล่อง/1000 ชุด),0,0,0,0,ชุด,
581,#FSB0581,ใบเอ๋ยใบไม้,49,0,0,0,เล่ม,
1,#FNM0592,ใบไม้ในทุ่งหญ้า (ปกใหม่) ชุดรางวัลแว่นแก้ว ครั้งที่ 1 ปี,145,0,0,0,เล่ม,
1,#FNM0804,ใบไม้ในทุ่งหญ้า (ปกใหม่): ชุด รางวัลแว่นแก่น ครั้งที่ 1 ปี 2544,145,0,0,0,เล่ม,
1,2DKA00038,ใยขัดพร้อมด้ามจับหัวจรวด ยี่ห้อ สก๊อตซ์-ไบรต์ ไม่มี มอก.,53,0,0,0,อัน,
164,#FSD0164,ใยเสน่หา,280,0,0,0,เล่ม,
1,#FSB2151,ให้คุณล่องลอยดุจฝัน,430,0,0,0,เล่ม,
582,#FSB0582,ให้คุณล่องลอยดุจฝัน,430,0,0,0,เล่ม,
1,#FSB2033,ให้มันจบที่ห้องเรา,340,0,0,0,เล่ม,
0,#FSV0853,ไกรทอง,20,0,0,0,เล่ม,
212,#FCH0217,ไกรทอง การ์ตูนสี่สี,90,0,0,0,เล่ม,
0,#FPL0900,ไก่ ชุดครอบครัวแสนสุข,250,0,0,0,เล่ม,
172,#FPK0173,ไก่พื้นเมือง,130,0,0,0,เล่ม,
0,#FSV0846,ไก่อวดดี,20,0,0,0,เล่ม,
1,#PO122,ไก่แจ้สามสีเล่นโยกเยก,2400,2,2,0,ชุด,
1,BA219,ไก่แจ้เล่นโยกเยก,2400,24,0,24,ชุด,
1,#FCP0008,ไก่แดงแสนขยัน นิทานสติ๊กเกอร์ 2 ภาษา ปกอ่อน,67,0,0,0,เล่ม,
1,#FNM1165,ไขกลลับวิหารศักดิ์สิทธิ์ เล่ม 2: ชุด Maple Story English Thief Series,168,0,0,0,เล่ม,
1,HCC0341,ไขควงสว่าน(เครื่องมือช่าง),0,0,0,0,ตัว,
1,CB651,ไขควงสำหรับซ่อมคอมพิวเตอร์,450,0,0,0,ชุด,
1,2DKA00579,ไขควงสำหรับซ่อมคอมพิวเตอร์ ไม่มียี่ห้อ ไม่มี มอก. ,653,0,0,0,ชุด,
1,CB922,ไขควงแฉก,134.92,0,0,0,ด้าม,
1,CB923,ไขควงแบน,134.92,0,0,0,ด้าม,
85,#FNM0080,ไขความลับของโดเรมอน,128,0,0,0,เล่ม,
64,#FTQ0110,ไขความลับพ่อแม่ลูกด้วยพลังจิตใต้สำนึก,150,0,0,0,เล่ม,
1,#FTQ0111,ไขถ้อยคำไทย การสร้างคำในภาษาไทย,80,0,0,0,เล่ม,
86,#FNM0081,ไขปมมรณะ : RESURRECTION MEN,295,0,0,0,เล่ม,
583,#FSB0583,ไขปริศนาคำขวัญประจังหวัด (2 ภาษาไทย-อังกฤษ) เล่ม 1 ภาคเหนือ-ใต้,250,0,0,0,เล่ม,
